ticker,navn,bors
EQNR.OL,Equinor,OSLO
DNB.OL,DNB Bank,OSLO
TEL.OL,Telenor,OSLO
MOWI.OL,Mowi,OSLO
YAR.OL,Yara International,OSLO
NHY.OL,Norsk Hydro,OSLO
ORK.OL,Orkla,OSLO
AKRBP.OL,Aker BP,OSLO
SALM.OL,SalMar,OSLO
LSG.OL,Leroy Seafood,OSLO
KOG.OL,Kongsberg Gruppen,OSLO
GJF.OL,Gjensidige Forsikring,OSLO
SUBC.OL,Subsea 7,OSLO
TOM.OL,Tomra Systems,OSLO
SCHA.OL,Schibsted,OSLO
STB.OL,Storebrand,OSLO
AKSO.OL,Aker Solutions,OSLO
BAKKA.OL,Bakkafrost,OSLO
VEI.OL,Veidekke,OSLO
NOD.OL,Nordic Semiconductor,OSLO
ATCO-A.ST,Atlas Copco,STOCKHOLM
INVE-B.ST,Investor AB,STOCKHOLM
VOLV-B.ST,Volvo,STOCKHOLM
ASSA-B.ST,Assa Abloy,STOCKHOLM
SAND.ST,Sandvik,STOCKHOLM
ERIC-B.ST,Ericsson,STOCKHOLM
HEXA-B.ST,Hexagon,STOCKHOLM
SEB-A.ST,SEB,STOCKHOLM
SWED-A.ST,Swedbank,STOCKHOLM
SHB-A.ST,Handelsbanken,STOCKHOLM
EPI-A.ST,Epiroc,STOCKHOLM
ALFA.ST,Alfa Laval,STOCKHOLM
SKF-B.ST,SKF,STOCKHOLM
TELIA.ST,Telia Company,STOCKHOLM
ESSITY-B.ST,Essity,STOCKHOLM
EVO.ST,Evolution,STOCKHOLM
NIBE-B.ST,NIBE Industrier,STOCKHOLM
NOVO-B.CO,Novo Nordisk,COPENHAGEN
DSV.CO,DSV,COPENHAGEN
MAERSK-B.CO,A.P. Moller-Maersk,COPENHAGEN
CARL-B.CO,Carlsberg,COPENHAGEN
COLO-B.CO,Coloplast,COPENHAGEN
GN.CO,GN Store Nord,COPENHAGEN
VWS.CO,Vestas Wind Systems,COPENHAGEN
DEMANT.CO,Demant,COPENHAGEN
TRYG.CO,Tryg,COPENHAGEN
NZYM-B.CO,Novonesis,COPENHAGEN
NESTE.HE,Neste,HELSINKI
NOKIA.HE,Nokia,HELSINKI
SAMPO.HE,Sampo,HELSINKI
UPM.HE,UPM-Kymmene,HELSINKI
KNEBV.HE,Kone,HELSINKI
FORTUM.HE,Fortum,HELSINKI
STERV.HE,Stora Enso,HELSINKI
